,V1,V2,mean,variance
210,0.91311,0.4,0.070385,0.000000
211,0.91311,0.5,0.078244,0.000000
212,0.91311,0.6,0.086652,0.000000
213,0.91311,0.7,0.095609,0.000000
214,0.91311,0.8,0.105115,0.000000
215,0.91311,0.9,0.115163,0.000001
216,0.91311,1,0.125743,0.000001
217,0.91311,1.1,0.136840,0.000001
218,0.91311,1.2,0.148437,0.000001
219,0.91311,1.3,0.160510,0.000001
220,0.91311,1.4,0.173035,0.000002
221,0.91311,1.5,0.185981,0.000002
222,0.91311,1.6,0.199316,0.000003
223,0.91311,1.7,0.213007,0.000003
224,0.91311,1.8,0.227015,0.000003
225,0.91311,1.9,0.241304,0.000004
226,0.91311,2,0.255835,0.000004
227,0.91311,2.1,0.270567,0.000005
228,0.91311,2.2,0.285462,0.000006
229,0.91311,2.3,0.300481,0.000006
230,0.91311,2.4,0.315588,0.000007
231,0.91311,2.5,0.330744,0.000007
232,0.91311,2.6,0.345917,0.000008
233,0.91311,2.7,0.361075,0.000009
234,0.91311,2.8,0.376186,0.000009
235,0.91311,2.9,0.391224,0.000010
236,0.91311,3,0.406163,0.000010
237,0.91311,3.1,0.420981,0.000011
238,0.91311,3.2,0.435657,0.000011
239,0.91311,3.3,0.450173,0.000012
240,0.91311,3.4,0.464513,0.000012
241,0.91311,3.5,0.478663,0.000013
242,0.91311,3.6,0.492611,0.000013
243,0.91311,3.7,0.506345,0.000014
244,0.91311,3.8,0.519857,0.000014
245,0.91311,3.9,0.533138,0.000014
246,0.91311,4,0.546179,0.000015
247,1.3186,0,0.043227,0.000000
248,1.3186,0.1,0.048759,0.000000
249,1.3186,0.2,0.054768,0.000000
250,1.3186,0.3,0.061270,0.000000
251,1.3186,0.4,0.068275,0.000000
252,1.3186,0.5,0.075793,0.000000
253,1.3186,0.6,0.083829,0.000000
254,1.3186,0.7,0.092387,0.000000
255,1.3186,0.8,0.101465,0.000001
256,1.3186,0.9,0.111059,0.000001
257,1.3186,1,0.121159,0.000001
258,1.3186,1.1,0.131754,0.000001
259,1.3186,1.2,0.142827,0.000002
260,1.3186,1.3,0.154358,0.000002
261,1.3186,1.4,0.166326,0.000002
262,1.3186,1.5,0.178703,0.000003
263,1.3186,1.6,0.191460,0.000003
264,1.3186,1.7,0.204567,0.000004
265,1.3186,1.8,0.217989,0.000005
266,1.3186,1.9,0.231693,0.000005
267,1.3186,2,0.245642,0.000006
268,1.3186,2.1,0.259801,0.000007
269,1.3186,2.2,0.274132,0.000007
270,1.3186,2.3,0.288601,0.000008
271,1.3186,2.4,0.303173,0.000009
272,1.3186,2.5,0.317813,0.000010
273,1.3186,2.6,0.332489,0.000011
274,1.3186,2.7,0.347172,0.000012
275,1.3186,2.8,0.361832,0.000013
276,1.3186,2.9,0.376443,0.000013
277,1.3186,3,0.390982,0.000014
278,1.3186,3.1,0.405425,0.000015
279,1.3186,3.2,0.419753,0.000016
280,1.3186,3.3,0.433949,0.000017
281,1.3186,3.4,0.447995,0.000017
282,1.3186,3.5,0.461879,0.000018
283,1.3186,3.6,0.475586,0.000019
284,1.3186,3.7,0.489107,0.000019
285,1.3186,3.8,0.502430,0.000020
286,1.3186,3.9,0.515545,0.000020
287,1.3186,4,0.528445,0.000021
288,2.0117,0,0.042141,0.000000
